Reference,Quantity,MPN,Value,NativeFootprint,AssemblyStatus
U1,1,MDBT50Q-1MV2,nRF52840 BLE module,AURA_PCB:A03_U1,Candidate; dense assembly and supplier qualification pending
MK1,1,SPH0641LU4H-1,Left PDM microphone,AURA_PCB:A03_MK1,Candidate; dense assembly and supplier qualification pending
MK2,1,SPH0641LU4H-1,Right PDM microphone,AURA_PCB:A03_MK2,Candidate; dense assembly and supplier qualification pending
U2,1,W25N01GVZEIG,1Gbit SPI NAND /128MiB,AURA_PCB:A03_U2,Candidate; dense assembly and supplier qualification pending
U3,1,BQ25185DLHR,53mA Li-ion powerpath charger,AURA_PCB:A03_U3,Candidate; dense assembly and supplier qualification pending
U4,1,TLV75530PDBVR,3.0V system regulator,AURA_PCB:A03_U4,Candidate; dense assembly and supplier qualification pending
U5,1,MAX17048G+T10,ModelGauge fuel gauge,AURA_PCB:A03_U5,Candidate; dense assembly and supplier qualification pending
U6,1,DRV2605LDGSR,LRA closed-loop haptics,AURA_PCB:A03_U6,Candidate; dense assembly and supplier qualification pending
U7,1,TLV75530PDBVR,Recording-only3V microphone regulator,AURA_PCB:A03_U7,Candidate; dense assembly and supplier qualification pending
U8,1,SN74LVC2G125DCUR,Ioff protected PDM isolation,AURA_PCB:A03_U8,Candidate; dense assembly and supplier qualification pending
U9,1,TLV6700DDCR,Independent charge hot cutoff,AURA_PCB:A03_U9,Candidate; dense assembly and supplier qualification pending
Q1,1,DMG2302UK-7,Default-off charge permission,AURA_PCB:A03_Q1,Candidate; dense assembly and supplier qualification pending
SW1,1,JS202011JCQN,Mechanical DPDT microphone OFF,AURA_PCB:A03_SW1,Candidate; dense assembly and supplier qualification pending
SW2,1,KMR211NGULCLFS,Flush face record / stop,AURA_PCB:A03_SW2,Candidate; dense assembly and supplier qualification pending
D1,1,BAT54WS-7-F,Reverse-dock Schottky,AURA_PCB:A03_D1,Candidate; dense assembly and supplier qualification pending
D2,1,"PESD5V0S1BA,115",Dock transient suppression,AURA_PCB:A03_D2,Candidate; dense assembly and supplier qualification pending
LED1,1,LTST-C190KFKT,Amber hard recording indicator,AURA_PCB:A03_LED1,Candidate; dense assembly and supplier qualification pending
R1,1,RC0402FR-075K62L,5.62k,AURA_PCB:A03_R1,Candidate; dense assembly and supplier qualification pending
R2,1,RC0402FR-0724KL,24k,AURA_PCB:A03_R2,Candidate; dense assembly and supplier qualification pending
