Designator,MPN,MidX_mm,MidY_mm,Rotation_deg,Layer,Convention
U1,MDBT50Q-1MV2,0,8,0,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
MK1,SPH0641LU4H-1,-8.5,9.27,0,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
MK2,SPH0641LU4H-1,8.5,9.27,0,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
U2,W25N01GVZEIG,-8.55,3.2,90,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
U3,BQ25185DLHR,-4.05,-9.55,0,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
U4,TLV75530PDBVR,-0.05,-13.05,90,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
U5,MAX17048G+T10,1.7,-1.3,90,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
U6,DRV2605LDGSR,4.45,-2.8,90,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
U7,TLV75530PDBVR,7.45,5.95,180,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
U8,SN74LVC2G125DCUR,8.2,-6.05,0,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
U9,TLV6700DDCR,-4.55,-12.3,0,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
Q1,DMG2302UK-7,-4.55,-3.8,180,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
SW1,JS202011JCQN,9.5,-0.2,90,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
SW2,KMR211NGULCLFS,0,-6,0,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
D1,BAT54WS-7-F,0.8,-9.05,0,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
D2,"PESD5V0S1BA,115",-0.55,-15.8,180,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
LED1,LTST-C190KFKT,0,-1,90,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
R1,RC0402FR-075K62L,-3.55,-6.05,90,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
R2,RC0402FR-0724KL,-6.05,-6.05,90,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
R3,RC0402FR-0710KL,-5.05,-0.8,270,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
R4,RC0402FR-0710KL,-6.8,-2.8,270,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
R5,RC0402FR-0710KL,-7.8,-2.05,90,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
R6,RC0402FR-074K7L,-5.8,8.45,270,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
R7,RC0402FR-074K7L,-3.55,-1.4,180,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
R8,RC0402FR-07100KL,-3.55,-0.3,180,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
R9,RC0402FR-07100KL,6.2,7.95,180,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
R10,RC0402FR-07100KL,6.2,10.95,180,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
R11,RC0402FR-0710KL,-7.8,-3.8,90,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
R13,RC0402FR-0710KL,10.45,8.2,90,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
R14,RC0402FR-071KL,-7.05,-5.55,90,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
R15,RC0402FR-07100KL,10.45,9.95,270,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
R16,RC0402FR-0733RL,-1.8,-3.05,0,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
R17,RC0402FR-0733RL,-9.3,-1.55,180,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
R18,RC0402FR-0710KL,-9.3,-2.55,180,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
R19,RC0402FR-0710KL,-10.8,-2.3,270,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
R20,RC0402FR-0710KL,-9.3,-3.55,180,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
R21,RC0402FR-0710KL,-8.05,-5.55,90,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
R22,RC0402FR-073K3L,-8.5,-13.4,90,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
R23,RC0402FR-0710KL,-8.5,-11.5,270,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
C1,C0402C104K4RACTU,-1.05,-0.8,90,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
C2,C0603C475K8PACTU,-2.05,-1.3,90,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
C3,939113424610-T3N,-6.55,10.45,90,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
C4,939113424610-T3N,6.45,9.7,90,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
C5,C0402C104K4RACTU,-10.8,7.95,0,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
C6,C0603C475K8PACTU,-10.55,9.7,90,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
C7,C0603C225K8RACTU,-1.3,-9.85,270,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
C8,C0603C475K8PACTU,-8,-9.05,90,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
C9,C0805C106K8PACTU,-4.8,-6.8,90,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
C10,C0603C225K8RACTU,0.9,-10.55,180,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
C11,C0402C104K4RACTU,1.45,-3.3,180,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
C12,C0603C105K4RACTU,6.7,-0.8,90,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
C13,C0603C105K4RACTU,3.95,-6.3,0,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
C14,C0603C105K4RACTU,9.95,5.95,270,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
C15,C0603C105K4RACTU,6.45,2.95,90,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
C16,C0402C104K4RACTU,10.7,-5.8,90,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
C17,C0402C103K5RACTU,-5.55,-1.8,0,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
C18,C0402C104K4RACTU,-2.05,-13.3,270,Top,Manufacturer body/reference origin; verify assembler zero-angle convention
