Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","A03_C1",-1.050000,-0.800000,90.000000,top
"C2","4.7uF","A03_C2",-2.050000,-1.300000,90.000000,top
"C3","100nF silicon","A03_C3",-6.550000,10.450000,90.000000,top
"C4","100nF silicon","A03_C4",6.450000,9.700000,90.000000,top
"C5","100nF","A03_C5",-10.800000,7.950000,0.000000,top
"C6","4.7uF","A03_C6",-10.550000,9.700000,90.000000,top
"C7","2.2uF","A03_C7",-1.300000,-9.850000,-90.000000,top
"C8","4.7uF","A03_C8",-8.000000,-9.050000,90.000000,top
"C9","10uF","A03_C9",-4.800000,-6.800000,90.000000,top
"C10","2.2uF","A03_C10",0.900000,-10.550000,180.000000,top
"C11","100nF","A03_C11",1.450000,-3.300000,180.000000,top
"C12","1uF","A03_C12",6.700000,-0.800000,90.000000,top
"C13","1uF","A03_C13",3.950000,-6.300000,0.000000,top
"C14","1uF","A03_C14",9.950000,5.950000,-90.000000,top
"C15","1uF","A03_C15",6.450000,2.950000,90.000000,top
"C16","100nF","A03_C16",10.700000,-5.800000,90.000000,top
"C17","10nF","A03_C17",-5.550000,-1.800000,0.000000,top
"C18","100nF","A03_C18",-2.050000,-13.300000,-90.000000,top
"D1","BAT54WS-7-F","A03_D1",0.800000,-9.050000,0.000000,top
"D2","PESD5V0S1BA,115","A03_D2",-0.550000,-15.800000,180.000000,top
"J1","AURA-DOCK-PADS","A03_J1",0.000000,-19.000000,0.000000,top
"J2","AURA-BATTERY-PADS","A03_J2",-6.000000,-12.000000,0.000000,top
"J3","AURA-SWD-PADS","A03_J3",1.000000,0.000000,0.000000,top
"J4","AURA-LRA-PADS","A03_J4",8.000000,-13.000000,0.000000,top
"LED1","LTST-C190KFKT","A03_LED1",0.000000,-1.000000,90.000000,top
"MK1","SPH0641LU4H-1","A03_MK1",-8.500000,9.542500,0.000000,top
"MK2","SPH0641LU4H-1","A03_MK2",8.500000,9.542500,0.000000,top
"Q1","DMG2302UK-7","A03_Q1",-4.550000,-3.800000,180.000000,top
"R1","5.62k","A03_R1",-3.550000,-6.050000,90.000000,top
"R2","24k","A03_R2",-6.050000,-6.050000,90.000000,top
"R3","10k","A03_R3",-5.050000,-0.800000,-90.000000,top
"R4","10k","A03_R4",-6.800000,-2.800000,-90.000000,top
"R5","10k","A03_R5",-7.800000,-2.050000,90.000000,top
"R6","4.7k","A03_R6",-5.800000,8.450000,-90.000000,top
"R7","4.7k","A03_R7",-3.550000,-1.400000,180.000000,top
"R8","100k","A03_R8",-3.550000,-0.300000,180.000000,top
"R9","100k","A03_R9",6.200000,7.950000,180.000000,top
"R10","100k","A03_R10",6.200000,10.950000,180.000000,top
"R11","10k","A03_R11",-7.800000,-3.800000,90.000000,top
"R13","10k","A03_R13",10.450000,8.200000,90.000000,top
"R14","1k","A03_R14",-7.050000,-5.550000,90.000000,top
"R15","100k","A03_R15",10.450000,9.950000,-90.000000,top
"R16","33","A03_R16",-1.800000,-3.050000,0.000000,top
"R17","33","A03_R17",-9.300000,-1.550000,180.000000,top
"R18","10k","A03_R18",-9.300000,-2.550000,180.000000,top
"R19","10k","A03_R19",-10.800000,-2.300000,-90.000000,top
"R20","10k","A03_R20",-9.300000,-3.550000,180.000000,top
"R21","10k","A03_R21",-8.050000,-5.550000,90.000000,top
"R22","3.3k","A03_R22",-8.500000,-13.400000,90.000000,top
"R23","10k","A03_R23",-8.500000,-11.500000,-90.000000,top
"SW1","JS202011JCQN","A03_SW1",9.500000,-0.200000,90.000000,top
"SW2","KMR211NGULCLFS","A03_SW2",0.000000,-6.000000,0.000000,top
"U1","MDBT50Q-1MV2","A03_U1",0.000000,6.250000,0.000000,top
"U2","W25N01GVZEIG","A03_U2",-8.550000,3.200000,90.000000,top
"U3","BQ25185DLHR","A03_U3",-4.050000,-9.550000,0.000000,top
"U4","TLV75530PDBVR","A03_U4",-0.050000,-13.050000,90.000000,top
"U5","MAX17048G+T10","A03_U5",1.700000,-1.300000,90.000000,top
"U6","DRV2605LDGSR","A03_U6",4.450000,-2.800000,90.000000,top
"U7","TLV75530PDBVR","A03_U7",7.450000,5.950000,180.000000,top
"U8","SN74LVC2G125DCUR","A03_U8",8.200000,-6.050000,0.000000,top
"U9","TLV6700DDCR","A03_U9",-4.550000,-12.300000,0.000000,top
