"Designator","MidX_mm","MidY_mm","Rotation_deg","Layer","CoordinateConvention"
"U1","0","8","0","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"MK1","-8.5","9.27","0","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"MK2","8.5","9.27","0","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"U2","-8.55","3.2","90","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"U3","-4.05","-9.55","0","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"U4","-0.05","-13.05","90","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"U5","1.7","-1.3","90","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"U6","4.45","-2.8","90","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"U7","7.45","5.95","180","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"U8","8.2","-6.05","0","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"U9","-4.55","-12.3","0","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"Q1","-4.55","-3.8","180","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"SW1","9.5","-0.2","90","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"SW2","0","-6","0","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"D1","0.2","-9.05","360","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"D2","-0.55","-15.8","180","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"LED1","0","-1","90","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"R1","-3.55","-6.05","90","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"R2","-6.05","-6.05","90","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"R3","-5.05","-0.8","270","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"R4","-6.8","-2.8","270","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"R5","-7.8","-2.05","90","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"R6","-5.8","8.45","270","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"R7","-3.55","-2.05","540","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"R8","-3.55","-0.3","540","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"R9","6.2","7.95","180","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"R10","6.2","10.95","180","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"R11","-7.8","-3.8","90","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"R13","10.45","8.2","90","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"R14","-7.05","-5.55","90","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"R15","10.45","9.95","270","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"R16","-1.8","-3.05","360","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"R17","-9.3","-1.55","180","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"R18","-9.3","-2.55","180","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"R19","-10.8","-2.3","270","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"R20","-9.3","-3.55","180","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"R21","-8.05","-5.55","450","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"R22","-7.3","-9.8","90","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"R23","-7.3","-7.8","270","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"C1","-1.05","-0.8","90","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"C2","-2.05","-1.3","90","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
