"Reference","X_mm","Y_mm","Rotation_deg","Side"
"U1","0","8","0","top"
"MK1","-8.5","9.27","0","top"
"MK2","8.5","9.27","0","top"
"U2","-8.55","3.2","90","top"
"U3","-4.05","-9.55","0","top"
"U4","-0.05","-13.05","90","top"
"U5","1.7","-1.3","90","top"
"U6","4.45","-2.8","90","top"
"U7","7.45","5.95","180","top"
"U8","8.2","-6.05","0","top"
"U9","-4.55","-12.3","0","top"
"Q1","-4.55","-3.8","180","top"
"SW1","9.5","-0.2","90","top"
"SW2","0","-6","0","top"
"D1","0.2","-9.05","360","top"
"D2","-0.55","-15.8","180","top"
"LED1","0","-1","90","top"
"J1","0","-19","0","bottom"
"J2","-6","-12","0","bottom"
"J3","1","0","0","bottom"
"J4","8","-13","0","bottom"
"R1","-3.55","-6.05","90","top"
"R2","-6.05","-6.05","90","top"
"R3","-5.05","-0.8","270","top"
"R4","-6.8","-2.8","270","top"
"R5","-7.8","-2.05","90","top"
"R6","-5.8","8.45","270","top"
"R7","-3.55","-2.05","540","top"
"R8","-3.55","-0.3","540","top"
"R9","6.2","7.95","180","top"
"R10","6.2","10.95","180","top"
"R11","-7.8","-3.8","90","top"
"R13","10.45","8.2","90","top"
"R14","-7.05","-5.55","90","top"
"R15","10.45","9.95","270","top"
"R16","-1.8","-3.05","360","top"
"R17","-9.3","-1.55","180","top"
"R18","-9.3","-2.55","180","top"
"R19","-10.8","-2.3","270","top"
"R20","-9.3","-3.55","180","top"
"R21","-8.05","-5.55","450","top"
"R22","-7.3","-9.8","90","top"
"R23","-7.3","-7.8","270","top"
"C1","-1.05","-0.8","90","top"
"C2","-2.05","-1.3","90","top"
"C3","-6.55","10.45","90","top"
"C4","6.45","9.7","90","top"
"C5","-10.8","7.95","0","top"
"C6","-10.55","9.7","90","top"
"C7","-1.8","-9.3","270","top"
"C8","-6.3","-9.05","90","top"
"C9","-4.8","-6.8","90","top"
"C10","0.2","-10.55","180","top"
"C11","1.45","-3.3","180","top"
"C12","6.7","-0.8","90","top"
"C13","3.95","-6.3","0","top"
"C14","9.95","5.95","270","top"
"C15","6.45","2.95","90","top"
"C16","10.7","-5.8","90","top"
"C17","-5.55","-2.05","360","top"
"C18","-2.05","-12.3","90","top"
